name,shape,n_elements,mean,std,abs_max,max_sigma,n_outliers,outlier_ratio_pct,dist_3_6_pct,dist_6_10_pct,dist_10_50_pct,dist_50p_pct,g2_pct_groups_with_outlier,g2_pct_groups_with_multi_outlier,g2_avg_outliers_per_active_group,g2_victim_waste_pct,g4_pct_groups_with_outlier,g4_pct_groups_with_multi_outlier,g4_avg_outliers_per_active_group,g4_victim_waste_pct,g8_pct_groups_with_outlier,g8_pct_groups_with_multi_outlier,g8_avg_outliers_per_active_group,g8_victim_waste_pct
encoder.layer.0.attention.output.dense,"(32, 128, 768)",3145728,-0.0044504316,0.17881787,2.8078353,15.702208,48794,1.5511194864908853,89.92908964216912,9.810632454810017,0.26027790302086323,0.0,2.950731913248698,0.15150705973307294,1.051345586175691,1.475365956624349,5.377070109049479,0.6913503011067708,1.1538770780618157,4.032802581787109,9.508005777994793,1.7771402994791667,1.3051060529060903,8.319505055745442
encoder.layer.0.attention.self.key,"(32, 128, 768)",3145728,-0.049640905,0.46874866,11.113617,23.709118,39578,1.2581507364908853,98.8225782000101,0.6316640557885694,0.545757744201324,0.0,2.5117238362630205,0.00457763671875,1.0018225079734724,1.2558619181315103,4.7882080078125,0.24363199869791666,1.051041002761844,3.591156005859375,9.516398111979168,0.543975830078125,1.0576696953500802,8.32684834798177
encoder.layer.0.attention.self.query,"(32, 128, 768)",3145728,-0.049640905,0.46874866,11.113617,23.709118,39578,1.2581507364908853,98.8225782000101,0.6316640557885694,0.545757744201324,0.0,2.5117238362630205,0.00457763671875,1.0018225079734724,1.2558619181315103,4.7882080078125,0.24363199869791666,1.051041002761844,3.591156005859375,9.516398111979168,0.543975830078125,1.0576696953500802,8.32684834798177
encoder.layer.0.attention.self.value,"(32, 128, 768)",3145728,-0.049640905,0.46874866,11.113617,23.709118,39578,1.2581507364908853,98.8225782000101,0.6316640557885694,0.545757744201324,0.0,2.5117238362630205,0.00457763671875,1.0018225079734724,1.2558619181315103,4.7882080078125,0.24363199869791666,1.051041002761844,3.591156005859375,9.516398111979168,0.543975830078125,1.0576696953500802,8.32684834798177
encoder.layer.0.intermediate.dense,"(32, 128, 768)",3145728,-0.0178388,1.0928457,63.179184,57.811623,32694,1.0393142700195312,97.65400379274485,0.8105462776044535,1.4375726432984646,0.09787728635223589,2.078564961751302,6.357828776041666e-05,1.000030587587557,1.039282480875651,3.944524129231771,0.21273295084635416,1.0539312078914285,2.958393096923828,7.883199055989583,0.4313151041666667,1.054713207303697,6.897799173990886
encoder.layer.0.output.dense,"(32, 128, 3072)",12582912,0.016761908,0.39678574,12.340759,31.101822,178994,1.4225165049235025,54.558253349274274,26.69028012112138,18.751466529604343,0.0,2.8425216674804688,0.002511342366536458,1.0008834910197053,1.4212608337402344,5.622005462646484,0.06806055704752603,1.012106099415899,4.216504096984863,10.826810201009113,0.5518595377604167,1.0511066351128362,9.473458925882976
encoder.layer.1.attention.output.dense,"(32, 128, 768)",3145728,-0.0017196293,0.22407661,3.1447861,14.034424,44636,1.418940226236979,90.92212563849807,8.972578188009678,0.1052961734922484,0.0,2.7181625366210938,0.11971791585286458,1.0440436928402685,1.3590812683105469,4.998143513997396,0.5835215250651042,1.1355738163685858,3.748607635498047,8.897145589192707,1.6169230143229167,1.2758610833214235,7.78500239054362
encoder.layer.1.attention.self.key,"(32, 128, 768)",3145728,-0.018139267,0.5071425,9.793842,19.311815,27184,0.8641560872395834,85.79679223072395,12.797969393761036,1.4052383755150089,0.0,1.7168045043945312,0.011507670084635418,1.0067029589304892,0.8584022521972656,3.390630086263021,0.06434122721354166,1.0194637164822802,2.5429725646972656,6.621297200520833,0.27414957682291663,1.0440927945921032,5.793635050455729
encoder.layer.1.attention.self.query,"(32, 128, 768)",3145728,-0.018139267,0.5071425,9.793842,19.311815,27184,0.8641560872395834,85.79679223072395,12.797969393761036,1.4052383755150089,0.0,1.7168045043945312,0.011507670084635418,1.0067029589304892,0.8584022521972656,3.390630086263021,0.06434122721354166,1.0194637164822802,2.5429725646972656,6.621297200520833,0.27414957682291663,1.0440927945921032,5.793635050455729
encoder.layer.1.attention.self.value,"(32, 128, 768)",3145728,-0.018139267,0.5071425,9.793842,19.311815,27184,0.8641560872395834,85.79679223072395,12.797969393761036,1.4052383755150089,0.0,1.7168045043945312,0.011507670084635418,1.0067029589304892,0.8584022521972656,3.390630086263021,0.06434122721354166,1.0194637164822802,2.5429725646972656,6.621297200520833,0.27414957682291663,1.0440927945921032,5.793635050455729
