name,shape,n_elements,mean,std,abs_max,max_sigma,n_outliers,outlier_ratio_pct,dist_3_6_pct,dist_6_10_pct,dist_10_50_pct,dist_50p_pct,g2_pct_groups_with_outlier,g2_pct_groups_with_multi_outlier,g2_avg_outliers_per_active_group,g2_victim_waste_pct,g4_pct_groups_with_outlier,g4_pct_groups_with_multi_outlier,g4_avg_outliers_per_active_group,g4_victim_waste_pct,g8_pct_groups_with_outlier,g8_pct_groups_with_multi_outlier,g8_avg_outliers_per_active_group,g8_victim_waste_pct
encoder.layer.0.attention.self.query.weight,"(768, 768)",589824,3.5583787e-05,0.043119404,0.52491736,12.173576,3110,0.5272759331597222,97.17041800643086,2.6045016077170415,0.22508038585209003,0.0,1.0518391927083335,0.002712673611111111,1.0025789813023855,0.5259195963541667,2.089436848958333,0.019666883680555556,1.0094125283998703,1.56707763671875,4.108344184027778,0.10850694444444445,1.0267414988445032,3.5948011610243054
encoder.layer.0.attention.self.key.weight,"(768, 768)",589824,4.95938e-06,0.04278882,0.833463,19.478523,3408,0.5777994791666667,94.98239436619718,4.137323943661972,0.8802816901408451,0.0,1.1494954427083335,0.006103515625,1.0053097345132744,0.5747477213541667,2.28271484375,0.027804904513888888,1.0124777183600713,1.7120361328125,4.466417100694445,0.1491970486111111,1.0349225630124506,3.908114963107639
encoder.layer.0.attention.self.value.weight,"(768, 768)",589824,-3.3003143e-05,0.028810903,0.19317074,6.704779,2468,0.4184299045138889,99.95948136142626,0.04051863857374392,0.0,0.0,0.8351643880208334,0.0016954210069444445,1.0020300446609824,0.4175821940104167,1.6608344184027777,0.012885199652777778,1.0077582686810944,1.2456258138020835,3.271484375,0.07188585069444445,1.023217247097844,2.862548828125
encoder.layer.0.attention.output.dense.weight,"(768, 768)",589824,-2.0735595e-05,0.02857643,0.5869761,20.540567,4447,0.7539537217881944,95.45761187317292,4.182595007870474,0.35979311895659993,0.0,1.4360215928819444,0.07188585069444445,1.0500590318772136,0.7180107964409722,2.6190863715277777,0.3512912326388889,1.151475919212843,1.9643147786458333,4.507107204861112,1.0647243923611112,1.3382485705687632,3.9437188042534723
encoder.layer.0.intermediate.dense.weight,"(3072, 768)",2359296,-3.0438803e-05,0.03742156,0.32221562,8.610427,9016,0.3821478949652778,99.72271517302573,0.277284826974268,0.0,0.0,0.7597181532118056,0.00457763671875,1.0060254407498326,0.3798590766059028,1.5019734700520835,0.025261773003472224,1.017722090529405,1.1264801025390625,2.9547797309027777,0.09189181857638888,1.0346568739958688,2.585432264539931
encoder.layer.0.output.dense.weight,"(768, 3072)",2359296,-8.503412e-05,0.035847373,1.679095,46.840115,12805,0.5427466498480903,96.74345958609918,2.5302616165560328,0.7262787973447872,0.0,1.077185736762153,0.008307562934027778,1.0077122845675612,0.5385928683810765,2.126566569010417,0.04119873046875,1.02088814478195,1.5949249267578125,4.153781467013888,0.16072591145833331,1.0453061224489797,3.6345587836371527
encoder.layer.1.attention.self.query.weight,"(768, 768)",589824,-0.0002959359,0.042532444,0.38935438,9.154291,2957,0.5013359917534722,99.49272911734866,0.5072708826513358,0.0,0.0,1.000298394097222,0.0023735894097222225,1.0023728813559323,0.500149197048611,1.9856770833333333,0.019666883680555556,1.0099043715846994,1.4892578125,3.908962673611111,0.09901258680555555,1.026023594725885,3.4203423394097223
encoder.layer.1.attention.self.key.weight,"(768, 768)",589824,2.7257538e-05,0.04252503,0.36085168,8.48563,3227,0.5471123589409722,98.9773783700031,1.022621629996901,0.0,0.0,1.091851128472222,0.0023735894097222225,1.0021739130434784,0.545925564236111,2.168782552083333,0.019666883680555556,1.009068167604753,1.6265869140625,4.267035590277778,0.10443793402777778,1.0257469802924348,3.7336561414930554
encoder.layer.1.attention.self.value.weight,"(768, 768)",589824,7.14359e-06,0.028363926,0.21300493,7.5097127,2651,0.4494561089409722,99.7736703130894,0.2263296869105998,0.0,0.0,0.8934868706597222,0.005425347222222222,1.0060721062618596,0.4467434353298611,1.7686631944444444,0.029161241319444444,1.0164877300613497,1.3264973958333335,3.4532335069444446,0.13563368055555555,1.0412411626080125,3.021579318576389
encoder.layer.1.attention.output.dense.weight,"(768, 768)",589824,2.9250346e-05,0.028000163,0.3610253,12.893686,4600,0.7798936631944444,96.08695652173913,3.782608695652174,0.13043478260869568,0.0,1.4814588758680556,0.07832845052083334,1.0528725108720531,0.7407294379340278,2.7167426215277777,0.35400390625,1.1482775836245631,2.037556966145833,4.717339409722222,1.0606553819444444,1.3225991949396205,4.127671983506945
encoder.layer.1.intermediate.dense.weight,"(3072, 768)",2359296,9.177093e-05,0.039225183,0.5060413,12.9009285,9655,0.4092322455512153,99.49249093733816,0.47643707923355777,0.031071983428275506,0.0,0.8127848307291666,0.005679660373263889,1.006987901543596,0.4063924153645833,1.6031901041666667,0.03204345703125,1.0210448392554992,1.202392578125,3.1290690104166665,0.128173828125,1.0462722149978327,2.737935384114583
encoder.layer.1.output.dense.weight,"(768, 3072)",2359296,-5.7430374e-05,0.037863694,2.152227,56.841442,12617,0.5347781711154515,97.27351985416502,1.9576761512245384,0.7529523658555917,0.01585162875485456,1.0606553819444444,0.008900960286458332,1.0083919437340154,0.5303276909722222,2.092488606770833,0.04391140407986111,1.0222816399286987,1.569366455078125,4.066297743055555,0.18208821614583331,1.0521180787191462,3.558010525173611
encoder.layer.2.attention.self.query.weight,"(768, 768)",589824,4.433235e-05,0.04774433,0.5283,11.065188,4776,0.8097330729166666,96.85929648241206,3.077889447236181,0.06281407035175879,0.0,1.5906439887152777,0.028822157118055556,1.0181198038797699,0.7953219943576388,3.057861328125,0.1742892795138889,1.0592149035262808,2.29339599609375,5.645073784722222,0.7459852430555556,1.1475252282556463,4.939439561631945
encoder.layer.2.attention.self.key.weight,"(768, 768)",589824,3.760127e-05,0.046663065,0.4601783,9.861725,4684,0.7941351996527778,96.11443210930828,3.8855678906917164,0.0,0.0,1.5679253472222223,0.020345052083333336,1.0129757785467128,0.7839626736111112,3.0280219184027777,0.14512803819444445,1.0490481522956328,2.271016438802083,5.658637152777778,0.6334092881944444,1.1227229146692235,4.951307508680555
encoder.layer.2.attention.self.value.weight,"(768, 768)",589824,-5.0979525e-05,0.027902018,0.20702815,7.419827,2712,0.4597981770833333,99.81563421828909,0.18436578171091444,0.0,0.0,0.9165445963541666,0.0030517578125,1.0033296337402886,0.4582722981770833,1.8202039930555556,0.01898871527777778,1.0104321907600595,1.3651529947916665,3.579372829861111,0.09765625,1.0276619931792346,3.1319512261284723
encoder.layer.2.attention.output.dense.weight,"(768, 768)",589824,-2.5350537e-06,0.027090743,0.26867256,9.917504,4013,0.6803724500868056,99.1278345377523,0.8721654622476951,0.0,0.0,1.3261583116319444,0.03458658854166667,1.026080286371772,0.6630791558159722,2.520751953125,0.18310546875,1.0796341135324186,1.89056396484375,4.634602864583334,0.6673177083333333,1.1744220076090137,4.055277506510416
encoder.layer.2.intermediate.dense.weight,"(3072, 768)",2359296,7.529715e-05,0.039878104,0.6285344,15.761391,9496,0.4024929470486111,97.64111204717776,2.0008424599831507,0.35804549283909015,0.0,0.7924397786458334,0.012546115451388888,1.0158322635857937,0.3962198893229167,1.551140679253472,0.04255506727430556,1.037927642365286,1.163355509440104,3.0327690972222223,0.10206434461805555,1.0617173524150267,2.653672960069444
encoder.layer.2.output.dense.weight,"(768, 3072)",2359296,-3.951052e-05,0.038261846,3.3303323,87.04056,13708,0.581020779079861,98.05223227312518,1.466297052815874,0.46688065363291503,0.014590020426028595,1.1524624294704862,0.00957912868923611,1.0083118793674144,0.5762312147352431,2.264234754774306,0.05781385633680555,1.0264320479221265,1.6981760660807292,4.416571723090278,0.2109103732638889,1.0524376199616123,3.864500257703993
encoder.layer.3.attention.self.query.weight,"(768, 768)",589824,0.0002886437,0.043008093,0.33602616,7.8130913,2645,0.4484388563368056,99.28166351606805,0.718336483931947,0.0,0.0,0.8945041232638888,0.0023735894097222225,1.0026535253980289,0.4472520616319444,1.7686631944444444,0.025092230902777776,1.0141871165644172,1.3264973958333335,3.4708658854166665,0.11121961805555555,1.0336068776865963,3.037007649739583
encoder.layer.3.attention.self.key.weight,"(768, 768)",589824,1.5101478e-05,0.04283092,0.34538698,8.063963,2825,0.4789564344618056,99.04424778761062,0.9557522123893806,0.0,0.0,0.9545220269097222,0.003390842013888889,1.0035523978685612,0.4772610134548611,1.8853081597222223,0.029839409722222224,1.0161870503597121,1.4139811197916665,3.6797417534722223,0.14241536458333331,1.041282712863988,3.2197740342881946
encoder.layer.3.attention.self.value.weight,"(768, 768)",589824,-6.7476816e-05,0.031165589,0.19132951,6.1391273,3027,0.5132039388020833,99.93392798149983,0.06607201850016517,0.0,0.0,1.0233561197916665,0.0030517578125,1.002982107355865,0.5116780598958333,2.029079861111111,0.022379557291666664,1.0116978609625669,1.5218098958333335,3.9849175347222223,0.11393229166666667,1.030292716133424,3.4868028428819446
encoder.layer.3.attention.output.dense.weight,"(768, 768)",589824,7.1363934e-06,0.02905999,0.3878361,13.346051,3746,0.635104709201389,99.01227976508275,0.9610250934329952,0.026695141484249865,0.0,1.2373182508680556,0.032891167534722224,1.0265826253768155,0.6186591254340278,2.364773220486111,0.1620822482638889,1.0742758818468598,1.7735799153645833,4.371473524305555,0.5777994791666667,1.162271175923053,3.825039333767361
encoder.layer.3.intermediate.dense.weight,"(3072, 768)",2359296,-7.169818e-05,0.04045153,0.65765566,16.257868,10077,0.4271189371744792,98.2137540934802,1.6076213158678176,0.17862459065197975,0.0,0.8413526746961806,0.012885199652777778,1.0153148614609573,0.4206763373480903,1.6421847873263888,0.052388509114583336,1.040367540780508,1.2316385904947915,3.1812879774305554,0.14750162760416669,1.0740780217437647,2.783626980251736
encoder.layer.3.output.dense.weight,"(768, 3072)",2359296,-3.5985548e-05,0.03930543,6.640357,168.94249,12637,0.5356258816189235,98.52021840626732,1.2423834770910818,0.20574503442272693,0.03165308221888106,1.0630289713541665,0.008222791883680556,1.0077352472089314,0.5315144856770833,2.10418701171875,0.03763834635416667,1.0182096527274191,1.5781402587890625,4.110378689236112,0.16547309027777776,1.042484738491998,3.5965813530815973
